facility_name,facility_type,address,latitude,longitude,contact_name,contact_phone,contact_email,notes
Block Island Compost,composting,"16 Old Town Rd, New Shoreham, RI 02807",41.1720384675219,-71.56424901268096,Town of New Shoreham,,,Small-scale pilot project. Block Island only — accessible by ferry. Will not be nearest facility for mainland entities.
New Shoreham Food Recycling Facility,composting,"14 W Beach Rd, New Shoreham, RI 02807",41.20877380047818,-71.57538230408227,Town of New Shoreham,,,Small-scale pilot project. Block Island only — accessible by ferry. Will not be nearest facility for mainland entities.
Michael Bradlee Composting Operation,composting,"50 Radcliffe Ave, Providence, RI 02908",41.83867312310967,-71.43172746171494,,,,Small-scale operation per RIDEM. Verify capacity before presenting as available facility.
Richmond Sand and Stone LLC,composting,"35 Stilson Rd, Wyoming, RI 02898",41.51535714170793,-71.68288037522773,Richmond Sand and Stone,,,Active per RIDEM inventory May 4 2026.
Rhode Island Bioenergy Facility (ORBIT),anaerobic_digestion,"289 Scituate Ave, Johnston, RI 02919",41.806375833340965,-71.51558836356686,,,, Only active AD facility in Rhode Island. Primary facility for most mainland entities.
EarthCare Farm,agricultural,"89 County Drive, Charlestown, RI 02813",41.43701950904387,-71.6004164463969,Mike Merner,,,Accepts putrescibles (food waste). Permit active — renewed 11/21/2022. Verify still active before presenting to users.
Schartner Corner Nursery,agricultural,"90 Ten Rod Road, Exeter, RI 02822",41.57522054522103,-71.52424480405973,Richard Schartner,401-294-2044,,Accepts leaf/yard waste and putrescibles. Permit active — renewed 5/16/2023.
Little Rhody Farms,agricultural,"67 Cucumber Hill Road, Foster, RI 02825",41.76332801926709,-71.77701837706246,Eli Berkowitz,401-397-3003 ext 105,,Accepts putrescibles and leaf/yard waste and manure. Permit issued Sept 2023.
Greene Farm LLC,agricultural,"5641 Flat River Road, Greene, RI 02827",41.695848637244225,-71.72726397521667,Mark P. DePasquale,,,"Accepts leaf/yard waste, manure, and putrescibles (food waste is part of their compost recipe; also brings in plant material). Permit active, issued 11/22/2024 — confirmed directly with Tyler Hertzwig (RIDEM), Jul 2026. No renewal period in RI; a new permit is only required if the farm increases compostable tonnage, changes location, or changes ownership."
Scobco,agricultural,"380 Tripps Corner Road, Exeter, RI 02822",41.55486261474926,-71.60112444561715,Gregory Allan,,,Accepts plant waste and manure and putrescibles. Permit issued May 2025.
